carat,cut,clarity,depth,table,price,x,y,z
0.3,2,2,89,39,552,61,64,49
0.42,3,3,83,69,552,109,115,77
0.28,2,7,82,39,553,50,53,39
0.32,2,6,88,32,553,70,73,54
0.31,4,2,101,49,553,64,61,54
0.31,3,2,86,59,553,66,63,49
0.24,3,6,75,59,553,32,34,25
0.3,2,6,88,39,605,68,65,51
0.3,4,2,99,39,554,60,58,51
0.3,3,2,97,69,554,59,55,49
0.3,3,2,93,49,554,60,56,48
0.3,1,2,105,49,554,59,57,53
0.26,4,7,60,79,554,50,53,30
0.26,4,7,67,59,554,46,54,32
0.26,4,7,92,19,554,39,44,37
0.26,4,7,96,79,554,32,36,34
0.26,4,6,94,69,554,37,40,36
0.26,4,6,102,69,554,31,35,36
0.26,4,6,89,79,554,34,43,34
0.26,2,7,97,59,554,33,37,35
0.38,2,3,84,39,554,96,98,68
0.26,1,6,47,79,554,53,56,26
0.24,3,6,91,69,554,26,22,26
0.24,3,6,80,59,554,32,26,25
0.24,3,6,76,69,554,33,31,25
0.24,3,7,75,59,554,38,35,27
0.32,3,2,97,59,554,66,64,54
0.7,2,2,93,49,2757,201,203,138
0.86,0,3,20,118,2757,276,265,133
0.7,2,5,84,39,2757,201,198,131
0.71,4,5,92,49,2759,199,204,137
0.78,4,3,106,39,2759,212,216,153
0.7,1,5,43,59,2759,216,221,119
0.7,1,4,62,99,2759,202,207,121
0.3,0,2,131,39,2759,68,65,51
0.3,2,2,84,69,605,208,65,137
0.8,3,2,83,59,2760,228,224,147
0.75,4,2,100,39,2760,211,206,146
0.75,3,2,67,19,2760,231,227,139
0.74,2,2,84,29,2760,211,216,140
0.75,3,5,85,59,2760,216,210,140
0.8,2,4,97,39,2760,225,218,153
0.75,2,2,90,29,2760,218,211,144
0.8,3,2,98,69,2760,221,212,150
0.74,2,7,91,29,2761,208,212,142
0.81,2,3,56,49,2761,245,243,141
0.59,2,7,88,29,2761,169,174,116
0.8,2,3,82,49,2761,227,232,148
0.74,2,3,90,39,2761,211,215,143
0.9,3,5,98,59,2761,247,244,168
0.74,4,2,90,69,2762,204,213,140
0.73,2,5,94,39,2762,208,205,141
0.3,2,5,95,39,2762,68,206,143
0.8,3,3,85,59,2762,229,225,149
0.3,2,2,92,19,605,68,65,139
0.7,2,5,75,59,2762,204,207,130
0.8,2,3,67,69,2762,232,239,143
0.71,2,3,91,39,2762,204,200,137
0.3,2,2,88,19,2762,68,214,51
0.7,4,5,85,107,2762,195,192,128
0.7,0,5,113,49,2762,188,184,139
0.7,0,5,121,29,2762,194,189,147
0.7,3,5,84,79,2762,196,190,127
0.91,3,2,82,39,2763,240,228,151
0.61,4,7,64,49,2763,187,189,113
0.91,0,3,112,49,2763,242,241,174
0.3,2,3,88,79,605,68,230,176
0.3,2,5,88,39,2763,68,217,51
0.71,4,2,104,59,2764,195,199,141
0.71,2,2,87,69,2764,200,203,134
0.7,4,5,94,79,2765,193,196,134
0.77,4,4,81,79,2765,219,221,142
0.63,2,6,88,39,2765,183,186,51
0.71,4,4,69,99,2765,205,208,127
0.71,3,4,86,69,2765,200,204,134
0.76,2,2,80,49,2765,219,222,142
0.64,2,6,87,39,2766,184,187,124
0.71,3,5,77,49,2766,209,206,132
0.71,3,5,66,39,2766,220,212,131
0.7,4,5,86,29,2767,199,203,133
0.7,4,4,68,49,2767,211,218,131
0.71,2,3,84,29,2767,205,207,135
0.7,1,7,89,110,2767,193,196,131
0.71,4,4,101,69,2768,183,192,133
0.73,4,2,70,39,2768,214,218,133
0.7,4,2,79,59,2768,197,204,129
0.7,2,2,77,49,2768,204,207,131
0.71,3,3,85,69,2768,202,198,132
0.74,2,2,81,39,2769,213,217,138
0.71,3,5,93,79,2770,196,192,133
0.73,3,5,82,69,2770,214,207,137
0.76,4,2,97,49,2770,210,212,146
0.76,2,3,92,49,2770,209,214,143
0.71,2,2,75,39,2770,208,211,132
0.73,3,5,75,59,2770,218,213,136
0.73,3,4,83,59,2770,210,206,136
0.73,2,3,67,49,2770,223,220,135
0.73,3,5,60,69,2770,223,218,130
0.72,4,7,71,39,2771,212,214,132
0.73,4,2,85,79,2771,210,213,139
0.71,2,5,87,49,2771,204,208,137
0.79,2,3,87,29,2771,228,223,149
0.73,4,6,72,69,2772,214,220,135
0.8,4,3,78,49,2772,232,235,148
0.58,2,6,83,29,2772,170,175,114
0.58,2,6,85,39,2772,164,168,111
0.71,1,5,60,89,2772,211,219,127
0.3,2,3,81,39,605,68,220,51
0.7,3,5,48,99,2773,218,209,119
1.17,4,0,70,89,2774,314,322,195
0.6,2,4,85,29,2774,172,175,116
0.7,2,2,95,29,2774,199,205,139
0.83,1,5,114,19,2774,216,219,160
0.74,4,5,81,89,2775,211,215,138
0.72,4,5,105,43,2776,193,200,142
0.71,3,5,95,59,2776,205,199,139
0.3,2,5,88,39,2776,68,193,136
0.54,2,7,88,39,605,68,158,105
0.3,2,7,83,39,2776,68,65,51
0.72,2,2,86,39,2776,203,206,136
0.72,2,2,75,39,2776,210,213,134
0.72,1,5,65,84,2776,211,215,128
0.71,2,2,73,39,2776,211,207,131
0.7,4,4,95,59,2777,197,204,138
0.3,2,5,89,59,2777,68,65,51
0.71,4,5,96,49,2777,195,200,137
0.71,1,5,106,59,2777,192,195,140
0.71,1,5,46,79,2777,218,221,121
0.7,2,5,89,29,2777,201,198,134
0.7,3,5,79,79,2777,202,195,128
0.7,3,2,68,69,2777,210,206,127
0.7,3,2,80,49,2777,204,199,130
0.7,3,2,95,69,2777,198,194,135
0.7,3,2,78,49,2777,204,199,129
0.7,3,2,78,59,2777,209,203,132
0.7,2,2,82,49,2777,207,201,133
0.3,2,2,86,39,2777,213,65,137
0.7,4,2,67,107,2777,207,201,124
0.7,2,2,81,39,2777,68,199,51
0.7,3,2,73,59,2777,208,205,129
0.7,1,5,109,69,2777,195,190,141
0.98,0,3,147,79,2777,236,228,190
0.78,3,2,92,59,2777,214,211,144
0.7,4,2,100,79,2777,191,182,132
0.52,2,6,81,29,2778,150,153,100
0.73,4,5,76,39,2779,213,215,136
0.74,2,2,85,39,2779,215,211,140
0.7,4,5,104,49,2780,192,196,139
0.77,3,5,80,59,2780,221,224,143
0.71,2,5,89,19,2780,199,203,135
0.74,2,4,83,29,2780,212,217,140
0.7,2,4,82,69,2780,195,204,130
1.01,2,0,86,39,2781,270,268,51
0.77,2,2,90,39,2781,214,219,145
0.78,2,2,80,39,605,223,65,145
0.72,4,4,74,107,2782,214,207,132
0.53,4,7,43,110,2782,165,168,89
0.76,2,5,81,39,2782,221,225,144
0.7,1,4,40,99,2782,212,208,112
0.7,3,4,97,79,2782,193,185,132
0.75,4,3,99,59,2782,209,204,144
0.72,2,2,76,49,2782,207,206,131
0.72,3,2,95,69,2782,204,200,139
0.3,3,2,96,39,605,199,65,51
0.3,0,2,88,39,2782,68,252,51
0.75,3,2,82,69,2782,219,216,141
0.52,2,1,90,29,2783,145,149,102
0.72,4,5,98,19,2784,200,204,141
0.79,4,4,105,39,2784,216,223,156
0.72,4,5,104,59,2787,197,200,142
0.51,2,6,88,49,2787,142,146,99
0.64,2,4,83,39,2787,185,186,122
0.7,4,6,73,79,2788,205,208,129
0.83,4,4,79,79,2788,238,242,153
0.76,2,7,86,39,2788,216,218,143
0.71,1,5,101,39,2788,195,199,139
0.77,1,4,62,110,2788,228,223,134
0.71,2,2,93,29,2788,202,196,136
1.01,0,0,113,59,2788,260,253,185
1.01,3,3,95,69,2788,262,254,174
0.77,1,2,110,7,2789,212,208,153
0.76,1,2,105,19,2789,207,216,151
0.76,3,2,72,59,2789,223,225,139
0.76,3,2,86,59,2789,213,217,142
1.05,4,3,100,39,2789,280,277,191
0.81,2,3,84,39,2789,228,233,150
0.7,2,2,84,39,2789,203,206,134
0.55,2,1,77,49,2789,159,161,103
0.81,1,3,78,89,2789,225,230,145
0.63,3,7,89,49,2789,179,172,119
0.63,3,6,77,79,2789,186,183,118
0.77,3,4,81,79,2789,221,219,142
1.05,0,3,126,69,2789,272,259,200
0.64,2,1,81,39,2790,185,189,122
0.76,3,6,56,69,2790,231,225,132
0.83,2,2,88,39,2790,68,237,157
0.71,3,4,69,99,2790,208,205,127
0.71,3,4,86,69,2790,204,200,134
0.87,4,2,104,37,2791,238,242,168
0.73,2,2,90,39,2791,205,209,139
0.71,3,2,60,69,2792,68,217,51
0.71,3,2,86,69,2792,201,206,135
0.3,2,2,88,29,605,203,208,51
0.7,3,4,89,79,2792,202,196,134
0.7,3,4,75,79,2792,209,206,131
0.76,3,7,64,49,2792,222,217,132
0.3,2,2,88,39,605,204,199,136
0.79,4,2,74,39,2793,68,238,51
0.7,4,5,97,49,2793,197,200,138
0.7,1,5,109,29,2793,191,197,142
0.3,2,5,88,39,2793,218,222,51
0.73,2,5,95,29,2793,203,207,141
0.79,4,2,100,39,2794,222,217,153
0.71,4,5,75,39,2795,212,213,134
0.81,3,7,87,79,2795,222,217,145
0.81,2,3,94,29,2795,223,227,153
0.72,1,4,75,79,2795,205,203,129
0.72,3,3,88,79,605,68,200,51
0.72,3,1,98,49,2795,203,201,141
0.81,3,5,48,69,2795,248,245,138
0.72,3,5,97,49,2795,204,196,139
1.0,3,3,50,79,2795,292,287,164
0.73,1,2,100,59,2796,201,207,143
0.3,2,2,81,39,2797,225,65,51
0.81,4,2,71,79,2797,238,242,148
0.71,3,2,95,79,2797,198,202,138
0.71,3,2,81,59,2797,204,206,133
0.71,3,2,84,79,2797,205,200,133
0.57,2,7,87,29,2797,165,166,112
0.51,2,6,85,39,2797,143,147,98
0.72,2,5,87,59,2797,203,206,136
0.74,2,4,86,59,2797,208,212,139
0.74,2,4,84,39,2797,212,213,139
0.7,0,6,56,115,2797,212,221,125
0.8,3,3,78,49,2797,234,233,148
1.01,0,3,142,79,2797,250,237,195
0.8,4,5,102,79,2797,223,213,153
0.77,2,4,83,69,2798,218,222,143
0.3,4,2,88,39,2799,68,257,142
0.82,2,3,92,19,2799,228,234,155
0.78,2,2,87,49,2799,222,217,145
0.6,4,1,84,39,2800,174,177,116
0.9,1,3,90,69,2800,238,243,160
0.7,3,4,90,59,2800,191,197,131
0.9,4,3,81,39,2800,248,255,161
0.83,2,2,91,49,2800,230,240,157
0.83,2,2,86,49,2800,234,239,155
0.83,4,2,93,69,2800,226,234,155
0.74,3,4,97,79,2800,205,199,140
0.79,2,4,86,69,2800,223,226,148
0.61,2,1,91,39,2800,174,176,120
0.76,0,4,58,119,2800,220,211,127
0.96,2,0,75,29,2801,268,273,169
0.73,2,5,93,29,2801,211,207,142
0.73,3,5,95,59,2801,207,201,140
0.75,2,2,72,49,2801,224,227,140
0.71,3,5,89,59,2801,201,198,134
0.71,1,5,46,79,2801,221,218,121
0.71,1,5,106,59,2801,195,192,140
0.71,3,5,96,49,2801,200,195,137
1.04,3,0,90,59,2801,277,273,182
1.0,3,3,91,59,2801,276,266,179
0.87,4,3,67,59,2802,250,255,153
0.53,2,1,87,19,2802,153,156,105
0.72,3,5,98,29,2802,210,192,140
0.72,3,4,92,59,2802,214,201,141
0.7,4,5,97,59,2803,194,196,136
0.74,4,2,103,39,2803,205,210,147
0.71,2,5,81,39,2803,206,202,132
0.73,2,2,74,39,2803,215,220,51
0.7,1,4,119,59,2803,187,190,144
0.71,3,5,94,59,2803,201,198,137
0.3,2,5,48,39,2803,68,212,51
0.71,3,4,92,89,2803,201,196,135
0.77,3,5,81,49,2803,224,219,143
0.71,3,5,67,79,2803,212,208,128
0.78,3,5,76,59,2803,234,226,145
0.71,4,4,103,29,2803,197,195,140
0.91,2,3,90,49,2803,252,247,166
0.71,4,5,106,59,2804,193,197,141
0.71,4,5,108,49,2804,197,199,144
0.8,4,3,93,39,2804,219,227,151
0.7,4,2,91,59,2804,200,204,137
0.72,2,4,85,49,2804,205,208,136
0.72,4,4,90,59,2804,206,201,137
0.82,2,5,83,39,2804,232,240,153
0.7,2,2,78,69,2804,199,201,128
0.72,2,2,90,39,2804,205,208,139
0.72,2,2,83,19,2804,208,211,137
0.9,0,2,141,69,2804,224,215,177
0.74,3,5,85,59,2805,216,209,140
0.74,3,5,87,39,2805,211,208,139
0.73,2,3,86,59,2805,208,212,139
0.57,0,6,55,115,2805,165,174,97
0.73,3,5,93,49,2805,206,201,139
0.72,2,5,96,39,2805,205,201,140
0.74,0,5,79,117,2805,213,206,134
0.82,1,5,108,49,2805,223,220,159
0.81,4,2,93,79,2806,220,225,150
0.75,4,6,74,59,2806,216,221,137
0.7,2,2,84,29,2806,203,205,134
0.71,4,4,88,39,2807,68,203,135
0.71,4,4,68,49,2807,215,221,133
0.93,3,3,87,49,2807,252,251,165
0.8,4,5,96,49,2808,218,222,151
0.7,4,4,88,49,2808,195,202,133
1.0,0,0,132,69,2808,247,241,189
0.75,4,5,102,39,2808,209,205,146
0.58,2,7,77,39,2808,172,174,111
0.73,4,2,99,49,2808,205,201,142
0.81,4,2,99,69,2809,216,210,148
0.81,3,3,60,49,2809,246,237,142
0.71,2,2,75,39,605,68,211,134
1.2,0,0,114,39,2809,304,298,215
0.7,4,4,86,39,2810,194,201,131
0.7,4,2,67,79,605,68,215,129
0.74,2,3,85,29,2810,212,216,141
0.7,1,4,96,89,2810,188,192,132
0.8,1,2,95,49,2810,215,224,150
0.3,4,2,88,59,2811,68,207,51
0.83,4,2,103,19,2811,229,226,160
1.0,0,5,125,69,2811,245,239,183
0.99,0,3,149,39,2811,252,238,200
0.7,4,4,98,79,2812,188,195,134
0.7,4,5,63,59,2812,206,216,126
0.7,1,2,103,69,2812,180,184,131
0.7,4,5,85,59,2812,194,200,130
0.32,3,2,95,59,554,68,65,54
0.32,3,2,96,59,554,70,65,55
0.3,2,2,88,39,554,68,65,51
0.32,3,2,78,69,554,70,67,48
0.3,2,2,99,39,605,68,67,57
0.32,2,2,75,49,554,78,73,51
0.3,3,2,77,69,554,62,60,43
0.3,3,2,69,29,554,72,69,45
0.3,3,2,97,59,554,59,55,49
0.3,4,2,101,39,554,60,58,52
0.3,1,2,106,29,554,57,51,51
0.3,2,2,97,49,554,58,53,48
0.3,4,2,102,79,554,56,54,50
0.32,1,2,107,29,554,67,65,59
0.33,2,3,82,39,554,116,110,76
0.3,2,4,87,39,605,68,65,47
0.29,4,4,92,29,555,51,56,44
0.31,4,2,86,59,555,63,66,49
0.3,2,5,88,39,555,68,81,51
0.34,2,5,72,49,555,85,88,56
0.34,2,4,86,29,555,79,83,59
0.34,2,4,88,39,555,81,84,61
0.3,2,4,91,39,555,60,62,49
0.29,2,4,84,39,555,57,62,45
0.35,2,2,74,39,555,87,89,58
0.43,4,0,52,99,555,125,131,71
0.32,4,5,82,59,556,68,73,51
0.36,2,5,87,39,556,85,88,63
0.3,2,5,88,39,556,59,61,47
0.26,2,4,83,49,556,40,43,33
0.7,4,5,91,59,2812,195,203,135
0.7,4,5,77,89,2812,197,202,127
0.71,2,2,92,49,2812,200,203,137
0.99,0,2,19,89,2812,303,299,149
0.73,3,5,54,79,2812,223,220,127
0.51,2,6,88,49,2812,146,142,99
0.91,3,3,66,59,2813,261,261,158
0.84,4,2,102,29,2813,231,226,160
0.91,1,5,111,59,2813,240,237,171
0.76,3,2,90,69,2814,217,212,144
0.76,2,2,85,49,2814,219,216,143
0.75,3,2,79,69,2814,217,214,138
0.55,4,6,83,39,2815,154,158,104
0.76,4,3,53,99,2815,224,233,130
0.74,3,4,85,59,2815,210,212,139
0.7,2,2,72,39,2815,206,212,130
0.7,2,2,82,39,2815,201,207,133
0.7,2,2,83,29,2815,204,210,135
0.7,2,2,82,39,2815,203,208,134
0.9,0,5,118,39,2815,239,236,175
0.3,2,3,28,39,2815,68,65,51
0.89,3,3,70,69,2815,257,255,157
0.72,3,5,51,59,2815,230,223,128
0.96,0,3,8,107,2815,304,297,136
1.02,3,0,71,59,2815,286,282,175
0.78,4,7,82,39,2816,222,226,145
0.61,2,7,69,49,2816,183,185,113
0.71,1,4,102,29,2816,192,200,139
0.78,3,2,83,69,2816,227,219,145
0.87,2,3,95,39,2816,247,245,166
0.83,2,2,93,29,2816,235,232,157
0.71,3,2,81,39,2817,209,204,134
0.71,2,7,70,39,2817,215,220,134
0.71,2,5,95,49,2817,197,195,135
0.71,3,5,91,59,2817,200,196,134
0.63,2,7,83,39,2817,179,183,119
0.71,3,2,60,69,2817,217,214,127
0.71,3,2,86,69,2817,206,201,135
0.71,2,2,81,29,2817,208,203,133
0.71,3,2,82,59,2817,208,204,134
0.9,2,5,96,29,2817,251,248,169
0.71,1,2,96,110,2817,191,185,131
0.7,3,5,92,89,2818,197,194,133
0.7,3,5,61,79,2818,209,204,122
0.7,3,5,98,79,2818,195,191,135
1.0,3,0,81,79,2818,274,271,174
0.86,3,3,61,99,2818,267,254,154
0.8,2,2,78,39,2818,68,232,149
0.7,2,4,97,49,2818,197,192,135
0.7,3,4,64,49,2818,222,214,131
0.7,3,5,86,79,2818,200,195,131
0.7,3,4,95,49,2818,199,195,136
1.0,0,3,121,99,2818,265,244,190
0.72,4,4,106,59,2819,195,199,142
0.72,2,4,91,39,2819,204,208,139
0.7,1,4,65,107,2819,207,210,126
0.86,1,3,111,79,2819,228,226,164
0.71,2,4,97,59,2820,197,200,138
0.75,2,2,88,49,2821,211,209,140
0.73,3,5,84,69,2821,208,204,135
0.53,2,6,87,29,2821,151,152,103
0.73,3,2,81,59,2821,214,207,136
0.73,1,2,104,49,2821,203,201,144
0.73,3,2,64,89,2821,223,216,132
0.73,3,2,90,69,2821,208,199,137
0.73,3,2,85,29,2821,215,213,141
0.73,4,2,100,59,2821,207,201,143
0.7,3,4,76,79,2822,205,202,129
0.3,3,5,71,39,605,68,65,51
0.72,3,5,77,79,2822,211,207,133
0.72,3,5,92,69,2822,208,201,139
0.7,3,5,70,79,2822,204,201,125
0.6,2,7,88,29,2822,168,171,115
0.74,2,6,76,49,2822,216,220,138
0.73,2,2,89,29,2822,206,209,139
0.71,3,2,95,79,2822,202,198,138
0.71,3,2,81,59,2822,206,204,133
0.7,3,2,70,79,2822,213,206,129
0.7,2,2,75,39,2822,206,203,129
0.9,1,5,108,89,2822,235,235,167
0.71,2,2,70,39,2822,217,214,133
0.7,3,5,83,69,2822,204,199,132
0.7,3,5,94,39,2822,202,197,137
0.7,2,2,65,59,2822,213,208,127
0.7,1,2,82,110,2822,202,197,130
0.7,2,2,93,49,2822,193,190,132
0.7,2,2,86,39,605,204,194,51
0.7,3,5,75,99,2822,203,199,127
0.7,3,2,88,39,2822,68,65,51
0.7,2,2,88,39,605,68,202,51
0.79,4,3,96,69,2823,217,221,150
0.9,1,2,106,49,2823,237,245,170
0.71,3,5,91,59,2823,202,197,135
0.61,2,7,81,19,2823,182,190,121
0.9,0,3,126,19,2823,236,229,177
0.71,2,2,73,39,2823,208,204,128
0.3,3,5,88,39,605,205,200,51
0.77,2,7,89,49,2824,215,217,144
0.74,1,4,99,59,2824,204,206,143
0.82,2,3,92,19,2824,233,228,155
0.82,3,3,76,79,2824,236,235,148
0.3,2,4,90,69,605,68,65,51
0.83,3,2,68,69,2825,239,237,145
0.73,4,4,88,49,2825,206,211,139
0.83,3,2,93,69,2825,233,226,155
1.17,3,0,70,89,2825,321,315,195
0.91,0,3,81,116,2825,255,251,162
0.73,3,4,94,79,2826,206,199,139
0.7,1,4,40,69,2826,225,219,119
0.9,3,3,90,69,2826,242,239,160
0.7,3,4,90,59,2826,197,191,131
0.7,4,5,101,39,2826,191,189,135
0.7,3,4,62,89,2826,209,205,123
0.9,4,3,103,39,2826,248,239,169
0.78,3,2,76,79,2826,228,225,143
0.96,2,0,75,29,2826,272,269,169
0.3,4,2,91,39,605,198,65,135
0.72,1,5,108,19,2827,199,201,145
0.3,3,2,94,59,605,68,221,51
0.7,2,6,84,49,2827,200,205,133
0.7,2,6,91,29,2827,197,201,135
0.7,2,3,74,39,2828,68,65,51
1.01,3,3,88,89,2828,68,65,172
0.72,3,4,90,59,2829,206,201,137
0.8,1,3,105,19,2829,222,218,156
0.59,2,6,88,39,2829,167,169,114
0.72,2,4,85,49,2829,208,205,136
0.75,3,3,87,49,2829,219,213,143
0.8,3,3,70,49,2829,236,233,144
0.71,4,5,95,69,2830,196,201,137
0.77,4,2,85,39,2830,215,220,143
0.3,2,0,75,39,2830,272,275,51
0.53,2,6,77,49,2830,154,65,51
0.53,2,6,86,49,2830,147,150,101
0.8,2,5,89,23,2830,225,230,151
0.9,3,2,74,99,2830,252,245,155
0.76,2,3,76,39,2831,220,229,51
0.72,2,2,91,49,2831,201,207,138
0.75,2,2,82,49,2831,213,218,140
0.72,3,2,89,59,2831,204,207,138
0.79,2,2,86,39,2831,224,222,147
0.72,4,5,93,59,2832,202,206,139
0.91,4,3,96,89,2832,246,250,168
0.71,3,7,89,49,2832,206,196,135
0.81,3,2,98,79,2832,218,212,149
0.82,2,2,93,49,2832,222,228,152
0.71,3,4,90,59,2832,203,197,135
0.3,1,2,111,107,2832,236,233,169
0.8,4,5,88,59,2833,217,226,147
0.56,4,1,78,69,2833,159,165,105
0.7,4,5,64,89,2833,208,211,126
0.7,2,5,78,49,2833,205,207,132
0.61,2,7,85,29,2833,176,179,118
0.85,2,3,93,49,2833,233,239,159
0.3,2,2,88,49,605,204,65,51
0.8,2,5,90,39,2834,225,218,148
0.8,2,5,96,49,2834,222,218,151
0.51,4,6,67,59,2834,147,150,91
0.53,2,6,82,49,2834,151,154,101
0.78,2,5,86,29,2834,223,226,148
0.9,4,2,102,19,2834,248,246,171
0.9,0,3,121,69,2834,238,232,175
0.77,2,3,75,29,2834,232,226,144
0.73,2,4,80,39,2835,220,212,139
0.63,2,7,87,49,2835,178,182,121
0.7,2,5,83,19,2835,201,206,133
0.72,2,5,96,49,2835,202,204,140
0.72,2,2,78,49,2835,209,211,134
0.75,2,5,88,69,2835,68,65,51
0.82,4,2,75,39,2836,235,238,148
0.71,1,5,96,79,2836,191,196,134
0.7,3,4,94,69,2837,200,197,136
0.3,2,4,88,39,2837,68,200,51
0.71,2,2,66,9,2838,217,213,130
0.76,4,2,77,29,2838,223,225,142
0.82,0,2,117,59,2838,214,210,158
0.72,3,4,56,79,2838,222,220,128
0.7,3,5,91,59,2838,203,195,135
0.7,3,5,85,59,2838,200,194,130
0.7,3,4,94,29,2838,204,195,137
0.7,3,5,62,89,2838,214,210,126
0.7,4,2,103,69,2838,184,180,131
0.7,3,5,77,89,2838,202,197,127
0.3,2,5,88,39,2838,68,206,51
0.3,3,4,88,79,2838,68,188,51
0.74,4,2,68,49,2839,216,220,133
0.71,2,4,83,49,2839,205,202,133
0.7,2,4,84,19,2839,206,203,134
0.71,2,4,89,29,2839,213,199,138
0.71,3,4,59,89,2839,215,212,125
0.71,3,4,58,79,2839,213,211,124
0.71,3,4,73,59,2839,206,203,128
0.7,2,4,92,9,2839,204,202,138
0.73,2,5,86,19,2839,211,213,140
0.7,2,5,89,19,2839,200,203,135
0.7,2,4,81,49,2839,202,205,132
0.71,3,7,71,59,2839,213,209,131
0.71,3,4,60,59,2839,218,213,127
0.79,2,5,61,39,605,68,65,51
0.71,3,4,95,69,2839,201,193,136
0.77,4,4,78,79,2840,221,218,140
0.75,4,3,66,39,2840,216,223,133
0.7,2,2,78,39,2840,206,211,133
0.71,3,5,61,39,2840,219,213,128
0.92,2,3,87,39,2840,258,252,167
0.83,3,3,82,69,2840,239,236,153
0.7,3,6,60,79,2840,218,209,126
0.73,3,5,71,69,2841,221,218,136
0.71,4,4,102,29,2841,200,192,139
0.3,4,2,88,39,2841,68,202,144
0.82,2,3,85,9,2841,231,244,155
0.82,2,3,91,39,2841,227,234,154
0.82,4,3,65,49,2841,243,246,147
0.52,2,6,80,39,2841,150,152,99
1.0,3,0,57,79,2841,291,287,168
0.95,0,2,135,39,2841,247,235,188
0.73,2,2,82,49,2841,207,211,136
0.73,3,5,67,69,2841,218,208,131
0.73,3,4,82,59,2841,213,208,137
0.8,2,4,94,19,2842,223,227,153
0.7,3,5,55,89,2842,211,203,119
0.7,4,5,70,99,2843,202,206,126
0.7,4,5,95,59,2843,196,198,136
0.71,4,5,62,59,2843,207,213,125
0.81,4,3,100,59,2843,222,223,155
0.71,2,2,83,59,605,68,210,135
0.73,2,7,81,49,2843,212,215,138
0.73,4,4,86,69,2843,204,210,137
0.72,2,5,88,49,2843,202,205,136
0.81,2,3,89,49,2843,222,226,149
0.71,2,7,75,49,2843,212,209,133
0.73,4,2,45,89,2844,223,227,124
0.7,4,4,88,69,2844,196,199,132
1.01,2,0,83,49,2844,276,278,178
1.01,1,0,99,49,2844,266,271,184
0.79,2,5,93,49,2844,222,224,151
0.7,4,5,86,69,2845,196,199,131
0.7,4,5,57,79,2845,214,216,125
0.8,1,5,102,79,2845,223,213,153
1.27,3,3,61,89,2845,343,337,202
0.79,2,2,83,39,2846,227,222,146
0.72,2,2,70,69,605,210,65,131
0.73,2,7,84,39,2846,68,215,139
1.01,0,3,122,69,2846,261,258,193
1.01,1,0,110,89,2846,256,250,180
0.73,2,2,59,69,2846,68,226,132
0.7,2,2,84,49,2846,202,207,134
0.7,1,5,59,89,2846,207,215,124
0.77,3,2,97,69,2846,215,210,147
0.77,3,5,81,79,2846,222,212,140
0.77,3,4,82,59,2846,225,220,144
